SubSectors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S&P 500,,,Silver,,,Software,,,Steel,,,Railroads,,,Gold,,,BanksUS,,,Transportation,,,Retail,,,Pharma,,,Metals & Mining,,,Chemicals,,,SOX,,,Biotech,,,Agriculture,,,Homebuilders,,,Airlines,,,Aerospace,,,Automotive,
SPX Index,,,SLVRLN Index,,,S5SFTW Index,,,S5STEL Index,,,S5RAIL Index,,,Gold,,,S5BANKX Index,,,S5TRAN Index,,,S5RETL Index,,,S5PHARX Index,,,S5METL Index,,,S5CHEM Index,,,SOX Index,,,S5BIOTX Index,,,S5AGRI Index,,,S5HOME Index,,,S5AIRLX Index,,,S5AERO Index,,,S5AUCO Index,
Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST
1988/09/07,265.87,,,,,,,,,,,,,,1988/07/18,435.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/09/06,265.59,,,,,,,,,,,,,,1988/07/15,439.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/09/02,264.48001,,,,,,,,,,,,,,1988/07/14,440.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/09/01,258.35001,,,,,,,,,,,,,,1988/07/13,435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/08/31,261.51999,,,,,,,,,,,,,,1988/07/12,433.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/08/30,262.51001,,,,,,,,,,,,,,1988/07/11,436.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/08/29,262.32999,,,,,,,,,,,,,,1988/07/08,439.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/08/26,259.67999,,,,,,,,,,,,,,1988/07/07,440.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/08/25,259.17999,,,,,,,,,,,,,,1988/07/06,436.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/08/24,261.13,,,,,,,,,,,,,,1988/07/05,437.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/08/23,257.09,,,,,,,,,,,,,,1988/07/04,437.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/08/22,256.98001,,,,,,,,,,,,,,1988/07/01,436.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/08/19,260.23999,,,,,,,,,,,,,,1988/06/30,436.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/08/18,261.03,,,,,,,,,,,,,,1988/06/29,433.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/08/17,260.76999,,,,,,,,,,,,,,1988/06/28,443.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/08/16,260.56,,,,,,,,,,,,,,1988/06/27,443.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/08/15,258.69,,,,,,,,,,,,,,1988/06/24,443.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/08/12,262.54999,,,,,,,,,,,,,,1988/06/23,447.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/08/11,262.75,,,,,,,,,,,,,,1988/06/22,448.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/08/10,261.89999,,,,,,,,,,,,,,1988/06/21,451.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/08/09,266.48999,,,,,,,,,,,,,,1988/06/20,454.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/08/08,269.98001,,,,,,,,,,,,,,1988/06/17,450.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/08/05,271.14999,,,,,,,,,,,,,,1988/06/16,453.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/08/04,271.92999,,,,,,,,,,,,,,1988/06/15,452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/08/03,272.98001,,,,,,,,,,,,,,1988/06/14,446.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/08/02,272.06,,,,,,,,,,,,,,1988/06/13,449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/08/01,272.20999,,,,,,,,,,,,,,1988/06/10,457.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/07/29,272.01999,,,,,,,,,,,,,,1988/06/09,455.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/07/28,266.01999,,,,,,,,,,,,,,1988/06/08,457.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/07/27,262.5,,,,,,,,,,,,,,1988/06/07,464.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/07/26,265.19,,,,,,,,,,,,,,1988/06/06,464.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/07/25,264.67999,,,,,,,,,,,,,,1988/06/03,464.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/07/22,263.5,,,,,,,,,,,,,,1988/06/02,453.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/07/21,266.66,,,,,,,,,,,,,,1988/06/01,456.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/07/20,270,,,,,,,,,,,,,,1988/05/31,455.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/07/19,268.47,,,,,,,,,,,,,,1988/05/27,452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/07/18,270.51001,,,,,,,,,,,,,,1988/05/26,453.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/07/15,272.04999,,,,,,,,,,,,,,1988/05/25,453.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/07/14,270.26001,,,,,,,,,,,,,,1988/05/24,457.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/07/13,269.32001,,,,,,,,,,,,,,1988/05/23,457.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/07/12,267.85001,,,,,,,,,,,,,,1988/05/20,454.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/07/11,270.54999,,,,,,,,,,,,,,1988/05/19,457.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/07/08,270.01999,,,,,,,,,,,,,,1988/05/18,454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/07/07,271.78,,,,,,,,,,,,,,1988/05/17,454.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/07/06,272.01999,,,,,,,,,,,,,,1988/05/16,453.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/07/05,275.81,,,,,,,,,,,,,,1988/05/13,449.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/07/01,271.78,,,,,,,,,,,,,,1988/05/12,451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/06/30,273.5,,,,,,,,,,,,,,1988/05/11,449.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/06/29,270.98001,,,,,,,,,,,,,,1988/05/10,446.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/06/28,272.31,,,,,,,,,,,,,,1988/05/09,444.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/06/27,269.06,,,,,,,,,,,,,,1988/05/06,442.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/06/24,273.78,,,,,,,,,,,,,,1988/05/05,444.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/06/23,274.82001,,,,,,,,,,,,,,1988/05/04,443.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/06/22,275.66,,,,,,,,,,,,,,1988/05/03,445.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/06/21,271.67001,,,,,,,,,,,,,,1988/04/29,449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/06/20,268.94,,,,,,,,,,,,,,1988/04/28,452.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/06/17,270.67999,,,,,,,,,,,,,,1988/04/27,450.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/06/16,269.76999,,,,,,,,,,,,,,1988/04/26,447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/06/15,274.45001,,,,,,,,,,,,,,1988/04/25,450.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/06/14,274.29999,,,,,,,,,,,,,,1988/04/22,448.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/06/13,271.42999,,,,,,,,,,,,,,1988/04/21,454.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/06/10,271.26001,,,,,,,,,,,,,,1988/04/20,457.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/06/09,270.20001,,,,,,,,,,,,,,1988/04/19,456.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/06/08,271.51999,,,,,,,,,,,,,,1988/04/18,458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/06/07,265.17001,,,,,,,,,,,,,,1988/04/15,456.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/06/06,267.04999,,,,,,,,,,,,,,1988/04/14,450.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/06/03,266.45001,,,,,,,,,,,,,,1988/04/13,449.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/06/02,265.32999,,,,,,,,,,,,,,1988/04/12,450.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/06/01,266.69,,,,,,,,,,,,,,1988/04/11,448.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/05/31,262.16,,,,,,,,,,,,,,1988/04/08,449.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/05/27,253.42,,,,,,,,,,,,,,1988/04/07,447.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/05/26,254.63,,,,,,,,,,,,,,1988/04/06,449.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/05/25,253.75999,,,,,,,,,,,,,,1988/04/05,453.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/05/24,253.50999,,,,,,,,,,,,,,1988/03/31,456.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/05/23,250.83,,,,,,,,,,,,,,1988/03/30,453.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/05/20,253.02,,,,,,,,,,,,,,1988/03/29,454.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/05/19,252.57001,,,,,,,,,,,,,,1988/03/28,453.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/05/18,251.35001,,,,,,,,,,,,,,1988/03/25,451.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/05/17,255.39,,,,,,,,,,,,,,1988/03/24,453.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/05/16,258.70999,,,,,,,,,,,,,,1988/03/23,449.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/05/13,256.78,,,,,,,,,,,,,,1988/03/22,447.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/05/12,253.85001,,,,,,,,,,,,,,1988/03/21,449.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/05/11,253.31,,,,,,,,,,,,,,1988/03/18,442.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/05/10,257.62,,,,,,,,,,,,,,1988/03/17,445.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/05/09,256.54001,,,,,,,,,,,,,,1988/03/16,446.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/05/06,257.48001,,,,,,,,,,,,,,1988/03/15,442.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/05/05,258.79001,,,,,,,,,,,,,,1988/03/14,442.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/05/04,260.32001,,,,,,,,,,,,,,1988/03/11,441.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/05/03,263,,,,,,,,,,,,,,1988/03/10,442.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/05/02,261.56,,,,,,,,,,,,,,1988/03/09,436.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/04/29,261.32999,,,,,,,,,,,,,,1988/03/08,436.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/04/28,262.60999,,,,,,,,,,,,,,1988/03/07,435.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/04/27,263.79999,,,,,,,,,,,,,,1988/03/04,431.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/04/26,263.92999,,,,,,,,,,,,,,1988/03/03,429.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/04/25,262.51001,,,,,,,,,,,,,,1988/03/02,428.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/04/22,260.14001,,,,,,,,,,,,,,1988/03/01,429.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/04/21,256.42001,,,,,,,,,,,,,,1988/02/29,426.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/04/20,256.13,,,,,,,,,,,,,,1988/02/26,430.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/04/19,257.92001,,,,,,,,,,,,,,1988/02/25,432.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/04/18,259.20999,,,,,,,,,,,,,,1988/02/24,435.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/04/15,259.76999,,,,,,,,,,,,,,1988/02/23,442.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/04/14,259.75,,,,,,,,,,,,,,1988/02/22,445.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/04/13,271.57999,,,,,,,,,,,,,,1988/02/19,442.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/04/12,271.37,,,,,,,,,,,,,,1988/02/18,447.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/04/11,270.16,,,,,,,,,,,,,,1988/02/17,445.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/04/08,269.42999,,,,,,,,,,,,,,1988/02/16,445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/04/07,266.16,,,,,,,,,,,,,,1988/02/15,445.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/04/06,265.48999,,,,,,,,,,,,,,1988/02/12,443.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/04/05,258.51001,,,,,,,,,,,,,,1988/02/11,440.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/04/04,256.09,,,,,,,,,,,,,,1988/02/10,441.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/03/31,258.89001,,,,,,,,,,,,,,1988/02/09,438.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/03/30,258.07001,,,,,,,,,,,,,,1988/02/08,442.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/03/29,260.07001,,,,,,,,,,,,,,1988/02/05,441.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/03/28,258.06,,,,,,,,,,,,,,1988/02/04,443.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/03/25,258.51001,,,,,,,,,,,,,,1988/02/03,445.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/03/24,263.35001,,,,,,,,,,,,,,1988/02/02,455.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/03/23,268.91,,,,,,,,,,,,,,1988/02/01,452.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/03/22,268.84,,,,,,,,,,,,,,1988/01/29,458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/03/21,268.73999,,,,,,,,,,,,,,1988/01/28,466.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/03/18,271.12,,,,,,,,,,,,,,1988/01/27,465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/03/17,271.22,,,,,,,,,,,,,,1988/01/26,469.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/03/16,268.64999,,,,,,,,,,,,,,1988/01/25,476.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/03/15,266.13,,,,,,,,,,,,,,1988/01/22,476.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/03/14,266.37,,,,,,,,,,,,,,1988/01/21,477.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/03/11,264.94,,,,,,,,,,,,,,1988/01/20,477.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/03/10,263.84,,,,,,,,,,,,,,1988/01/19,477.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/03/09,269.06,,,,,,,,,,,,,,1988/01/18,475.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/03/08,269.42999,,,,,,,,,,,,,,1988/01/15,480.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/03/07,267.38,,,,,,,,,,,,,,1988/01/14,481.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/03/04,267.29999,,,,,,,,,,,,,,1988/01/13,481.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/03/03,267.88,,,,,,,,,,,,,,1988/01/12,480.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/03/02,267.98001,,,,,,,,,,,,,,1988/01/11,483.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/03/01,267.22,,,,,,,,,,,,,,1988/01/08,483.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/02/29,267.82001,,,,,,,,,,,,,,1988/01/07,483.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/02/26,262.45999,,,,,,,,,,,,,,1988/01/06,481.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/02/25,261.57999,,,,,,,,,,,,,,1988/01/05,475.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/02/24,264.42999,,,,,,,,,,,,,,1988/01/04,480.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/02/23,265.01999,,,,,,,,,,,,,,1987/12/30,484.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/02/22,265.64001,,,,,,,,,,,,,,1987/12/29,485.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/02/19,261.60999,,,,,,,,,,,,,,1987/12/23,481.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/02/18,257.91,,,,,,,,,,,,,,1987/12/22,483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/02/17,259.20999,,,,,,,,,,,,,,1987/12/21,480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/02/16,259.82999,,,,,,,,,,,,,,1987/12/18,481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/02/12,257.63,,,,,,,,,,,,,,1987/12/17,477.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/02/11,255.95,,,,,,,,,,,,,,1987/12/16,486.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/02/10,256.66,,,,,,,,,,,,,,1987/12/15,492.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/02/09,251.72,,,,,,,,,,,,,,1987/12/14,499.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/02/08,249.10001,,,,,,,,,,,,,,1987/12/11,493.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/02/05,250.96001,,,,,,,,,,,,,,1987/12/10,488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/02/04,252.21001,,,,,,,,,,,,,,1987/12/09,484.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/02/03,252.21001,,,,,,,,,,,,,,1987/12/08,484.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/02/02,255.57001,,,,,,,,,,,,,,1987/12/07,481.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/02/01,255.03999,,,,,,,,,,,,,,1987/12/04,486.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/01/29,257.07001,,,,,,,,,,,,,,1987/12/03,491.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/01/28,253.28999,,,,,,,,,,,,,,1987/12/02,490.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/01/27,249.38,,,,,,,,,,,,,,1987/12/01,487.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/01/26,249.57001,,,,,,,,,,,,,,1987/11/30,492.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/01/25,252.17,,,,,,,,,,,,,,1987/11/27,478.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/01/22,246.5,,,,,,,,,,,,,,1987/11/26,477.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/01/21,243.14,,,,,,,,,,,,,,1987/11/25,476.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/01/20,242.63,,,,,,,,,,,,,,1987/11/24,475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/01/19,249.32001,,,,,,,,,,,,,,1987/11/23,469.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/01/18,251.88,,,,,,,,,,,,,,1987/11/20,465.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/01/15,252.05,,,,,,,,,,,,,,1987/11/19,465.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/01/14,245.88,,,,,,,,,,,,,,1987/11/18,463.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/01/13,245.81,,,,,,,,,,,,,,1987/11/17,464.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/01/12,245.42,,,,,,,,,,,,,,1987/11/16,462.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/01/11,247.49001,,,,,,,,,,,,,,1987/11/13,464.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/01/08,243.39999,,,,,,,,,,,,,,1987/11/12,462.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/01/07,261.07001,,,,,,,,,,,,,,1987/11/11,461.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/01/06,258.89001,,,,,,,,,,,,,,1987/11/10,458.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/01/05,258.63,,,,,,,,,,,,,,1987/11/09,463.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988/01/04,255.94,,,,,,,,,,,,,,1987/11/06,460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987/12/31,247.08,,,,,,,,,,,,,,1987/11/05,457.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987/12/30,247.86,,,,,,,,,,,,,,1987/11/04,466.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987/12/29,244.59,,,,,,,,,,,,,,1987/11/03,464.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987/12/28,245.57001,,,,,,,,,,,,,,1987/11/02,469.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987/12/24,252.03,,,,,,,,,,,,,,1987/10/30,468.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987/12/23,253.16,,,,,,,,,,,,,,1987/10/29,472.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987/12/22,249.95,,,,,,,,,,,,,,1987/10/28,477.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
